,xmin,ymin,xmax,ymax,label,score,geometry
0,174.0,249.0,237.0,319.0,Tree,0.809412956237793,"POLYGON ((237 249, 237 319, 174 319, 174 249, 237 249))"
1,320.0,272.0,382.0,332.0,Tree,0.7377177476882935,"POLYGON ((382 272, 382 332, 320 332, 320 272, 382 272))"
2,324.0,333.0,396.0,400.0,Tree,0.7365479469299316,"POLYGON ((396 333, 396 400, 324 400, 324 333, 396 333))"
3,67.0,119.0,116.0,170.0,Tree,0.6761187314987183,"POLYGON ((116 119, 116 170, 67 170, 67 119, 116 119))"
4,113.0,348.0,157.0,390.0,Tree,0.619097888469696,"POLYGON ((157 348, 157 390, 113 390, 113 348, 157 348))"
5,197.0,323.0,237.0,360.0,Tree,0.618690013885498,"POLYGON ((237 323, 237 360, 197 360, 197 323, 237 323))"
6,267.0,162.0,309.0,207.0,Tree,0.6164085865020752,"POLYGON ((309 162, 309 207, 267 207, 267 162, 309 162))"
7,143.0,314.0,186.0,359.0,Tree,0.6122885942459106,"POLYGON ((186 314, 186 359, 143 359, 143 314, 186 314))"
8,142.0,0.0,217.0,64.0,Tree,0.6090149283409119,"POLYGON ((217 0, 217 64, 142 64, 142 0, 217 0))"
9,265.0,289.0,315.0,334.0,Tree,0.5955278277397156,"POLYGON ((315 289, 315 334, 265 334, 265 289, 315 289))"
10,247.0,329.0,298.0,374.0,Tree,0.5948578715324402,"POLYGON ((298 329, 298 374, 247 374, 247 329, 298 329))"
11,209.0,104.0,270.0,168.0,Tree,0.5914384126663208,"POLYGON ((270 104, 270 168, 209 168, 209 104, 270 104))"
12,27.0,260.0,131.0,363.0,Tree,0.5886282324790955,"POLYGON ((131 260, 131 363, 27 363, 27 260, 131 260))"
13,243.0,251.0,291.0,294.0,Tree,0.5653983354568481,"POLYGON ((291 251, 291 294, 243 294, 243 251, 291 251))"
14,308.0,235.0,353.0,277.0,Tree,0.5651028156280518,"POLYGON ((353 235, 353 277, 308 277, 308 235, 353 235))"
15,289.0,370.0,323.0,398.0,Tree,0.5421372056007385,"POLYGON ((323 370, 323 398, 289 398, 289 370, 323 370))"
